activity_name,region,neighborhood,lifestyle,cost_mad,duration_hrs,type,difficulty,rating,time_of_day,seasonal_availability,latitude,longitude,description,id
Safi's Best Garden Tour & Tea,Safi,Nouvelle Ville,comfort_seeker,382,1.8,relaxation,easy,4.5,evening,year_round,32.330553,-9.214789,A must-do garden tour & tea for visitors to Safi.,200
"Traditional Dinner Show in Hivernage, Marrakesh",Marrakesh,Hivernage,food_lover,529,3.8,food,easy,4.5,morning,year_round,31.59098,-7.970726,A must-do traditional dinner show for visitors to Marrakesh.,201
Exclusive Local Café Crawl in Agadir,Agadir,City Center,food_lover,244,1.6,food,easy,4.0,evening,winter_only,30.398823,-9.606705,Explore the hidden gems of City Center with this guided local café crawl.,202
Exclusive Traditional Dinner Show in Essaouira,Essaouira,Port,food_lover,522,3.9,food,easy,4.0,evening,year_round,31.538413,-9.781832,Experience the authentic flavors and culture of Essaouira with this traditional dinner show.,203
Exclusive Museum Visit in Safi,Safi,Chaâba,explorer,118,1.7,culture,easy,3.0,afternoon,year_round,32.275662,-9.19222,Immerse yourself in the local Chaâba area with this culture experience.,204
"Cultural Monument Tour in Hivernage, Marrakesh",Marrakesh,Hivernage,explorer,140,1.1,culture,easy,3.5,afternoon,year_round,31.654439,-8.005859,Immerse yourself in the local Hivernage area with this culture experience.,205
Agadir Traditional Hammam Discovery,Agadir,Founty,comfort_seeker,476,2.0,relaxation,easy,4.0,evening,year_round,30.44727,-9.636175,Discover the best of Agadir during this unforgettable traditional hammam.,206
Unforgettable Garden Tour & Tea in Essaouira,Essaouira,Medina,comfort_seeker,341,2.3,relaxation,easy,4.5,afternoon,year_round,31.504864,-9.798843,Experience the authentic flavors and culture of Essaouira with this garden tour & tea.,207
Authentic Street Food Tour Experience in Safi,Safi,Nouvelle Ville,food_lover,235,2.6,food,easy,4.0,morning,year_round,32.29477,-9.261994,Immerse yourself in the local Nouvelle Ville area with this food experience.,208
Marrakesh Historic Site Exploration Discovery,Marrakesh,Gueliz,explorer,333,3.5,culture,moderate,3.5,morning,year_round,31.657971,-7.948645,Explore the hidden gems of Gueliz with this guided historic site exploration.,209
Unforgettable Garden Tour & Tea in Agadir,Agadir,Founty,comfort_seeker,296,2.6,relaxation,easy,5.0,afternoon,year_round,30.463251,-9.588221,Experience the authentic flavors and culture of Agadir with this garden tour & tea.,210
Authentic Traditional Hammam Experience in Essaouira,Essaouira,Port,comfort_seeker,422,1.2,relaxation,easy,3.5,evening,year_round,31.463777,-9.757187,Immerse yourself in the local Port area with this relaxation experience.,211
Artisan Workshop Visit Adventure - Port Area,Safi,Port Area,explorer,436,2.9,culture,easy,3.5,afternoon,year_round,32.299558,-9.246442,Immerse yourself in the local Port Area area with this culture experience.,212
Spa Treatment Adventure - Hivernage,Marrakesh,Hivernage,comfort_seeker,649,2.9,relaxation,easy,3.0,morning,summer_only,31.602635,-7.961064,Experience the authentic flavors and culture of Marrakesh with this spa treatment.,213
Agadir Garden Tour & Tea Discovery,Agadir,Talborjt,comfort_seeker,314,2.2,relaxation,easy,3.5,evening,year_round,30.430253,-9.641656,Explore the hidden gems of Talborjt with this guided garden tour & tea.,214
Beach Museum Visit,Essaouira,Beach,explorer,110,1.6,culture,easy,4.0,afternoon,year_round,31.484628,-9.793884,Experience the authentic flavors and culture of Essaouira with this museum visit.,215
Authentic Traditional Hammam Experience in Safi,Safi,Port Area,comfort_seeker,417,1.8,relaxation,easy,3.0,afternoon,year_round,32.275655,-9.20505,Experience the authentic flavors and culture of Safi with this traditional hammam.,216
Exclusive Historic Site Exploration in Marrakesh,Marrakesh,Medina,explorer,167,3.7,culture,moderate,4.5,afternoon,year_round,31.594737,-7.97305,Discover the best of Marrakesh during this unforgettable historic site exploration.,217
Sonaba Cooking Class,Agadir,Sonaba,food_lover,595,3.5,food,moderate,3.0,morning,winter_only,30.454846,-9.561151,Explore the hidden gems of Sonaba with this guided cooking class.,218
"Beach Lounging in Borj, Essaouira",Essaouira,Borj,comfort_seeker,164,2.1,nature,easy,5.0,afternoon,year_round,31.494854,-9.775127,A must-do beach lounging for visitors to Essaouira.,219
Traditional Historic Site Exploration - Safi,Safi,Nouvelle Ville,explorer,239,3.4,culture,moderate,3.5,afternoon,spring_fall,32.310355,-9.27599,Explore the hidden gems of Nouvelle Ville with this guided historic site exploration.,220
Unforgettable Museum Visit in Marrakesh,Marrakesh,Mellah,explorer,297,1.9,culture,easy,3.5,afternoon,year_round,31.640889,-7.952522,Experience the authentic flavors and culture of Marrakesh with this museum visit.,221
Exclusive Spa Treatment in Agadir,Agadir,Talborjt,comfort_seeker,647,2.7,relaxation,easy,5.0,afternoon,year_round,30.389282,-9.572612,Discover the best of Agadir during this unforgettable spa treatment.,222
Beach Spa Treatment,Essaouira,Beach,comfort_seeker,614,1.5,relaxation,easy,4.5,morning,year_round,31.519848,-9.730537,Experience the authentic flavors and culture of Essaouira with this spa treatment.,223
Unforgettable Traditional Dinner Show in Safi,Safi,Medina,food_lover,380,3.3,food,easy,4.5,evening,spring_fall,32.31775,-9.273786,Experience the authentic flavors and culture of Safi with this traditional dinner show.,224
Marrakesh's Best Local Café Crawl,Marrakesh,Medina,food_lover,228,2.0,food,easy,3.5,morning,year_round,31.606413,-7.9994,Explore the hidden gems of Medina with this guided local café crawl.,225
Agadir Cultural Monument Tour Discovery,Agadir,Sonaba,explorer,162,1.6,culture,easy,4.5,morning,year_round,30.452364,-9.629654,Experience the authentic flavors and culture of Agadir with this cultural monument tour.,226
Mellah Guided City Walk,Essaouira,Mellah,explorer,269,2.9,culture,moderate,3.5,afternoon,year_round,31.544543,-9.72502,Experience the authentic flavors and culture of Essaouira with this guided city walk.,227
Safi's Best Street Food Tour,Safi,Chaâba,food_lover,235,2.7,food,easy,4.0,afternoon,year_round,32.331048,-9.199451,Discover the best of Safi during this unforgettable street food tour.,228
Marrakesh's Best Garden Tour & Tea,Marrakesh,Hivernage,comfort_seeker,236,1.9,relaxation,easy,5.0,evening,year_round,31.598471,-7.973458,A must-do garden tour & tea for visitors to Marrakesh.,229
Unforgettable Beach Lounging in Agadir,Agadir,City Center,comfort_seeker,109,3.7,nature,easy,3.5,morning,spring_fall,30.415482,-9.620809,Immerse yourself in the local City Center area with this nature experience.,230
Unforgettable Sunset Yacht Cruise in Essaouira,Essaouira,Borj,comfort_seeker,766,2.4,nature,easy,4.5,afternoon,summer_only,31.490651,-9.797142,A must-do sunset yacht cruise for visitors to Essaouira.,231
Safi's Best Traditional Dinner Show,Safi,Nouvelle Ville,food_lover,510,3.0,food,easy,4.0,morning,year_round,32.261837,-9.260075,A must-do traditional dinner show for visitors to Safi.,232
Historic Site Exploration Adventure - Mellah,Marrakesh,Mellah,explorer,332,3.7,culture,moderate,4.5,afternoon,winter_only,31.615335,-8.02036,Discover the best of Marrakesh during this unforgettable historic site exploration.,233
Traditional Local Café Crawl - Agadir,Agadir,Founty,food_lover,210,2.3,food,easy,3.5,afternoon,year_round,30.464415,-9.642593,Experience the authentic flavors and culture of Agadir with this local café crawl.,234
"Resort Day Pass in Medina, Essaouira",Essaouira,Medina,comfort_seeker,645,4.7,relaxation,easy,3.0,afternoon,year_round,31.53125,-9.803577,A must-do resort day pass for visitors to Essaouira.,235
Spa Treatment Adventure - Medina,Safi,Medina,comfort_seeker,759,2.6,relaxation,easy,4.0,evening,year_round,32.317593,-9.28175,Experience the authentic flavors and culture of Safi with this spa treatment.,236
Unforgettable Traditional Hammam in Marrakesh,Marrakesh,Mellah,comfort_seeker,525,1.9,relaxation,easy,4.5,evening,year_round,31.62493,-8.020923,A must-do traditional hammam for visitors to Marrakesh.,237
Agadir's Best Resort Day Pass,Agadir,Marina Bay,comfort_seeker,596,6.8,relaxation,easy,3.5,evening,spring_fall,30.462199,-9.633309,Discover the best of Agadir during this unforgettable resort day pass.,238
Authentic Food Market Exploration Experience in Essaouira,Essaouira,Mellah,food_lover,160,1.7,food,easy,5.0,morning,year_round,31.471818,-9.71964,Explore the hidden gems of Mellah with this guided food market exploration.,239
Exclusive Cooking Class in Safi,Safi,Medina,food_lover,579,3.7,food,moderate,4.5,evening,year_round,32.270476,-9.214279,Immerse yourself in the local Medina area with this food experience.,240
"Street Food Tour in Palmeraie, Marrakesh",Marrakesh,Palmeraie,food_lover,158,2.4,food,easy,3.5,morning,year_round,31.645799,-7.937682,Discover the best of Marrakesh during this unforgettable street food tour.,241
Agadir's Best Cooking Class,Agadir,Sonaba,food_lover,600,2.8,food,moderate,3.5,evening,year_round,30.412766,-9.613483,Experience the authentic flavors and culture of Agadir with this cooking class.,242
Traditional Dinner Show Adventure - Beach,Essaouira,Beach,food_lover,437,3.2,food,easy,3.5,evening,year_round,31.507638,-9.72514,Experience the authentic flavors and culture of Essaouira with this traditional dinner show.,243
Unforgettable Museum Visit in Safi,Safi,Beach District,explorer,143,1.5,culture,easy,3.5,morning,year_round,32.285477,-9.204937,Immerse yourself in the local Beach District area with this culture experience.,244
Sunset Yacht Cruise Adventure - Palmeraie,Marrakesh,Palmeraie,comfort_seeker,529,2.7,nature,easy,3.5,afternoon,year_round,31.640679,-7.941605,Explore the hidden gems of Palmeraie with this guided sunset yacht cruise.,245
Agadir's Best Street Food Tour,Agadir,Talborjt,food_lover,184,2.7,food,easy,4.5,evening,spring_fall,30.457085,-9.60955,Immerse yourself in the local Talborjt area with this food experience.,246
"Food Market Exploration in Medina, Essaouira",Essaouira,Medina,food_lover,191,1.8,food,easy,4.5,morning,year_round,31.549673,-9.783461,Discover the best of Essaouira during this unforgettable food market exploration.,247
Safi's Best Fine Dining Experience,Safi,Medina,food_lover,625,2.6,food,easy,4.5,evening,year_round,32.30406,-9.203296,Discover the best of Safi during this unforgettable fine dining experience.,248
Hivernage Garden Tour & Tea,Marrakesh,Hivernage,comfort_seeker,340,2.8,relaxation,easy,4.5,afternoon,year_round,31.655728,-7.995517,Discover the best of Marrakesh during this unforgettable garden tour & tea.,249
Traditional Food Market Exploration - Agadir,Agadir,Talborjt,food_lover,135,1.2,food,easy,5.0,evening,year_round,30.413587,-9.580103,Experience the authentic flavors and culture of Agadir with this food market exploration.,250
Port Mountain Excursion,Essaouira,Port,explorer,636,8.0,nature,hard,3.5,afternoon,spring_fall,31.53763,-9.785096,Immerse yourself in the local Port area with this nature experience.,251
Safi Street Food Tour Discovery,Safi,Medina,food_lover,274,2.4,food,easy,4.5,morning,year_round,32.274762,-9.221512,Discover the best of Safi during this unforgettable street food tour.,252
Marrakesh's Best Garden Tour & Tea,Marrakesh,Medina,comfort_seeker,395,2.9,relaxation,easy,3.5,morning,winter_only,31.644798,-8.00694,A must-do garden tour & tea for visitors to Marrakesh.,253
Unforgettable Local Café Crawl in Agadir,Agadir,Sonaba,food_lover,176,1.6,food,easy,5.0,evening,year_round,30.411864,-9.592896,Immerse yourself in the local Sonaba area with this food experience.,254
Essaouira Garden Tour & Tea Discovery,Essaouira,Mellah,comfort_seeker,383,2.9,relaxation,easy,3.5,morning,year_round,31.503685,-9.715001,Immerse yourself in the local Mellah area with this relaxation experience.,255
Safi's Best Historic Site Exploration,Safi,Port Area,explorer,196,2.0,culture,moderate,4.5,morning,year_round,32.292118,-9.265056,Experience the authentic flavors and culture of Safi with this historic site exploration.,256
"Cultural Monument Tour in Medina, Marrakesh",Marrakesh,Medina,explorer,126,1.2,culture,easy,5.0,morning,year_round,31.630265,-8.013601,Immerse yourself in the local Medina area with this culture experience.,257
Agadir Traditional Hammam Discovery,Agadir,Talborjt,comfort_seeker,589,1.0,relaxation,easy,5.0,afternoon,year_round,30.382896,-9.582021,Experience the authentic flavors and culture of Agadir with this traditional hammam.,258
Exclusive Food Market Exploration in Essaouira,Essaouira,Port,food_lover,100,1.1,food,easy,3.5,afternoon,year_round,31.523391,-9.718185,Immerse yourself in the local Port area with this food experience.,259
Safi's Best Beach Lounging,Safi,Medina,comfort_seeker,157,3.1,nature,easy,3.5,afternoon,summer_only,32.288022,-9.26817,Explore the hidden gems of Medina with this guided beach lounging.,260
Gueliz Street Food Tour,Marrakesh,Gueliz,food_lover,283,2.9,food,easy,4.0,morning,year_round,31.645511,-7.957305,Discover the best of Marrakesh during this unforgettable street food tour.,261
Sonaba Historic Site Exploration,Agadir,Sonaba,explorer,182,3.6,culture,moderate,3.5,afternoon,year_round,30.429357,-9.573312,Explore the hidden gems of Sonaba with this guided historic site exploration.,262
Port Spa Treatment,Essaouira,Port,comfort_seeker,724,2.6,relaxation,easy,4.5,evening,summer_only,31.498545,-9.802769,Explore the hidden gems of Port with this guided spa treatment.,263
Safi's Best Cooking Class,Safi,Beach District,food_lover,512,3.7,food,moderate,4.5,afternoon,year_round,32.292539,-9.230182,A must-do cooking class for visitors to Safi.,264
Gueliz Mountain Excursion,Marrakesh,Gueliz,explorer,613,6.5,nature,hard,4.0,morning,year_round,31.661791,-7.98662,Immerse yourself in the local Gueliz area with this nature experience.,265
"Garden Tour & Tea in City Center, Agadir",Agadir,City Center,comfort_seeker,326,2.8,relaxation,easy,5.0,morning,year_round,30.468552,-9.573417,Immerse yourself in the local City Center area with this relaxation experience.,266
"Traditional Hammam in Medina, Essaouira",Essaouira,Medina,comfort_seeker,419,1.7,relaxation,easy,4.0,evening,spring_fall,31.480703,-9.729123,A must-do traditional hammam for visitors to Essaouira.,267
Traditional Street Food Tour - Safi,Safi,Medina,food_lover,212,2.6,food,easy,3.5,evening,year_round,32.283128,-9.267875,Explore the hidden gems of Medina with this guided street food tour.,268
Traditional Dinner Show Adventure - Palmeraie,Marrakesh,Palmeraie,food_lover,565,3.8,food,easy,5.0,afternoon,spring_fall,31.598122,-7.944195,Immerse yourself in the local Palmeraie area with this food experience.,269
Agadir Museum Visit Discovery,Agadir,Marina Bay,explorer,238,2.2,culture,easy,4.5,afternoon,summer_only,30.410118,-9.559502,Discover the best of Agadir during this unforgettable museum visit.,270
Exclusive Traditional Hammam in Essaouira,Essaouira,Mellah,comfort_seeker,405,1.1,relaxation,easy,3.5,morning,year_round,31.465813,-9.730143,Experience the authentic flavors and culture of Essaouira with this traditional hammam.,271
"Artisan Workshop Visit in Chaâba, Safi",Safi,Chaâba,explorer,205,1.7,culture,easy,4.0,afternoon,year_round,32.313842,-9.25314,Experience the authentic flavors and culture of Safi with this artisan workshop visit.,272
Marrakesh's Best Sunset Yacht Cruise,Marrakesh,Gueliz,comfort_seeker,620,2.2,nature,easy,4.5,morning,year_round,31.59691,-7.969086,A must-do sunset yacht cruise for visitors to Marrakesh.,273
Unforgettable Historic Site Exploration in Agadir,Agadir,Sonaba,explorer,210,3.4,culture,moderate,3.5,morning,summer_only,30.393593,-9.619233,Immerse yourself in the local Sonaba area with this culture experience.,274
Unforgettable Sunset Yacht Cruise in Essaouira,Essaouira,Port,comfort_seeker,799,2.6,nature,easy,4.5,morning,year_round,31.506417,-9.721321,A must-do sunset yacht cruise for visitors to Essaouira.,275
Unforgettable Traditional Dinner Show in Safi,Safi,Port Area,food_lover,488,3.2,food,easy,4.0,morning,year_round,32.307105,-9.211346,Explore the hidden gems of Port Area with this guided traditional dinner show.,276
Authentic Traditional Hammam Experience in Marrakesh,Marrakesh,Gueliz,comfort_seeker,356,1.5,relaxation,easy,4.0,morning,year_round,31.590148,-7.93888,A must-do traditional hammam for visitors to Marrakesh.,277
Sunset Yacht Cruise Adventure - City Center,Agadir,City Center,comfort_seeker,899,2.7,nature,easy,3.5,morning,year_round,30.428708,-9.574715,A must-do sunset yacht cruise for visitors to Agadir.,278
Traditional Food Market Exploration - Essaouira,Essaouira,Port,food_lover,182,1.4,food,easy,3.5,evening,summer_only,31.494797,-9.77511,Immerse yourself in the local Port area with this food experience.,279
Unforgettable Garden Tour & Tea in Safi,Safi,Beach District,comfort_seeker,368,3.0,relaxation,easy,4.5,evening,year_round,32.300923,-9.232824,Experience the authentic flavors and culture of Safi with this garden tour & tea.,280
Marrakesh's Best Food Market Exploration,Marrakesh,Gueliz,food_lover,128,1.6,food,easy,4.5,evening,spring_fall,31.669806,-7.962877,Discover the best of Marrakesh during this unforgettable food market exploration.,281
Authentic Artisan Workshop Visit Experience in Agadir,Agadir,City Center,explorer,405,2.7,culture,easy,4.0,afternoon,summer_only,30.469172,-9.597485,Discover the best of Agadir during this unforgettable artisan workshop visit.,282
Traditional Historic Site Exploration - Essaouira,Essaouira,Mellah,explorer,204,3.8,culture,moderate,4.0,morning,year_round,31.547035,-9.749048,Discover the best of Essaouira during this unforgettable historic site exploration.,283
"Fine Dining Experience in Medina, Safi",Safi,Medina,food_lover,727,2.9,food,easy,4.0,morning,summer_only,32.339411,-9.232605,A must-do fine dining experience for visitors to Safi.,284
Marrakesh's Best Historic Site Exploration,Marrakesh,Hivernage,explorer,207,2.2,culture,moderate,4.0,afternoon,year_round,31.616102,-7.941392,A must-do historic site exploration for visitors to Marrakesh.,285
Agadir's Best Sunset Yacht Cruise,Agadir,City Center,comfort_seeker,872,2.2,nature,easy,5.0,afternoon,year_round,30.436922,-9.629565,Immerse yourself in the local City Center area with this nature experience.,286
Unforgettable Historic Site Exploration in Essaouira,Essaouira,Borj,explorer,271,3.9,culture,moderate,3.5,afternoon,year_round,31.478678,-9.746392,A must-do historic site exploration for visitors to Essaouira.,287
Safi's Best Sunset Yacht Cruise,Safi,Nouvelle Ville,comfort_seeker,508,2.9,nature,easy,3.0,afternoon,year_round,32.292401,-9.275743,A must-do sunset yacht cruise for visitors to Safi.,288
Marrakesh Spa Treatment Discovery,Marrakesh,Palmeraie,comfort_seeker,788,2.1,relaxation,easy,3.0,morning,spring_fall,31.628055,-8.013393,Immerse yourself in the local Palmeraie area with this relaxation experience.,289
Traditional Resort Day Pass - Agadir,Agadir,Founty,comfort_seeker,477,7.0,relaxation,easy,3.0,afternoon,spring_fall,30.416092,-9.560507,A must-do resort day pass for visitors to Agadir.,290
Unforgettable Cultural Monument Tour in Essaouira,Essaouira,Port,explorer,108,1.9,culture,easy,3.5,morning,summer_only,31.468568,-9.758501,A must-do cultural monument tour for visitors to Essaouira.,291
Safi Traditional Dinner Show Discovery,Safi,Port Area,food_lover,415,3.2,food,easy,5.0,evening,year_round,32.303851,-9.253789,Experience the authentic flavors and culture of Safi with this traditional dinner show.,292
Traditional Street Food Tour - Marrakesh,Marrakesh,Hivernage,food_lover,199,2.1,food,easy,4.5,morning,year_round,31.643473,-7.946372,Explore the hidden gems of Hivernage with this guided street food tour.,293
Agadir's Best Sunset Yacht Cruise,Agadir,Talborjt,comfort_seeker,754,2.3,nature,easy,4.0,afternoon,year_round,30.447463,-9.588333,Discover the best of Agadir during this unforgettable sunset yacht cruise.,294
Food Market Exploration Adventure - Beach,Essaouira,Beach,food_lover,170,1.5,food,easy,4.5,afternoon,year_round,31.533479,-9.7312,Immerse yourself in the local Beach area with this food experience.,295
Exclusive Cooking Class in Safi,Safi,Beach District,food_lover,452,2.5,food,moderate,3.0,morning,winter_only,32.327355,-9.257097,Immerse yourself in the local Beach District area with this food experience.,296
Exclusive Cooking Class in Marrakesh,Marrakesh,Hivernage,food_lover,487,3.9,food,moderate,3.5,afternoon,year_round,31.672855,-8.019206,Experience the authentic flavors and culture of Marrakesh with this cooking class.,297
Street Food Tour Adventure - Talborjt,Agadir,Talborjt,food_lover,293,2.2,food,easy,3.5,evening,year_round,30.445654,-9.5857,Experience the authentic flavors and culture of Agadir with this street food tour.,298
Sunset Yacht Cruise Adventure - Port,Essaouira,Port,comfort_seeker,524,2.7,nature,easy,3.5,morning,year_round,31.553126,-9.786452,Explore the hidden gems of Port with this guided sunset yacht cruise.,299
Beach District Mountain Excursion,Safi,Beach District,explorer,459,4.7,nature,hard,3.5,morning,year_round,32.288562,-9.209567,Explore the hidden gems of Beach District with this guided mountain excursion.,300
